env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,134,4.003054141998291
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,130,3.897599697113037
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,116,3.5518798828125
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,122,3.7488443851470947
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,False,17,0.0,2,2,44,1.3081564903259277
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,23,0.0,2,3,58,1.7644782066345215
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,48,0.0,2,3,120,3.6582400798797607
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,True,11,0.9494897959183674,2,3,25,0.7601659297943115
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,124,3.8274526596069336
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,127,3.926166534423828
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,139,3.918694019317627
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,118,3.27451229095459
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,True,11,0.9494897959183674,3,1,25,0.6877105236053467
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,120,3.4391603469848633
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,117,3.3074705600738525
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,126,3.9086153507232666
