env,episode,policy,use_history,history_window,max_steps,model,mock,buffer_size,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-DoorKey-5x5-v0,0,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,144,4.881134033203125,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,134,4.440204381942749,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,148,4.879632472991943,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,133,4.429017543792725,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,147,4.979995965957642,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.8043527603149414,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7424023151397705,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7470359802246094,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7434258460998535,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7552785873413086,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7656450271606445,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7399709224700928,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7430763244628906,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7382402420043945,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf2_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7474560737609863,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7592782974243164,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7514588832855225,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.8092455863952637,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.7640981674194336,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,True,24,0.915625,52,1.9616403579711914,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7859327793121338,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7824962139129639,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.763929843902588,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7972416877746582,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.8301596641540527,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.851470708847046,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.815988302230835,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.844944715499878,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.8055689334869385,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.8033995628356934,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,0,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7602317333221436,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,1,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7432265281677246,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,2,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7436797618865967,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,3,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7459821701049805,MiniGrid-Empty-8x8-v0,5
MiniGrid-Empty-8x8-v0,4,BoT_buf3_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,3,True,24,0.915625,52,1.7449440956115723,MiniGrid-Empty-8x8-v0,5
MiniGrid-LavaGapS7-v0,0,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-7B-Instruct,False,2,False,50,0.0,144,3.999424695968628,MiniGrid-LavaGapS7-v0,5
MiniGrid-LavaGapS7-v0,1,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-7B-Instruct,False,2,False,50,0.0,118,3.3062193393707275,MiniGrid-LavaGapS7-v0,5
MiniGrid-LavaGapS7-v0,2,BoT_buf2_k1,True,1,50,Qwen/Qwen2.5-7B-Instruct,False,2,False,50,0.0,146,4.090394496917725,MiniGrid-LavaGapS7-v0,5
